City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,zalari,53.5584,102.5065,266.34,60,70,1.78,RU,1698623079
83,susuman,62.7833,148.1667,255.36,99,93,0.45,RU,1698623079
84,atafu village,-8.5421,-172.5159,302.18,71,98,5.07,TK,1698623079
85,laguna de perlas,12.3429,-83.6712,301.2,86,86,1.8,NI,1698623080
86,longyearbyen,78.2186,15.6401,267.06,93,40,4.63,SJ,1698623080
87,egilsstadir,65.2653,-14.3948,274.1,93,75,1.54,IS,1698623080
88,murzzuschlag,47.6,15.6833,282.32,100,100,1.78,AT,1698623080
89,pionerskiy,54.9508,20.2275,284.06,88,100,9.02,RU,1698623081
90,tazovsky,67.4667,78.7,256.9,94,15,1.34,RU,1698623081
91,bor,56.3567,44.0669,273.15,90,100,5.16,RU,1698623081
92,vilhena,-12.7406,-60.1458,300.27,74,88,2.57,BR,1698623081
93,bilibino,68.0546,166.4372,252.89,90,12,1.85,RU,1698623081
94,lodwar,3.1191,35.5973,298.82,65,99,2.76,KE,1698623082
95,khandyga,62.6667,135.6,267.27,96,100,1.2,RU,1698623082
96,rio grande,-32.035,-52.0986,294.23,95,43,4.01,BR,1698622921
97,choyr,46.3611,108.3611,273.0,44,62,8.02,MN,1698623082
98,bata,1.8639,9.7658,299.15,90,91,2.09,GQ,1698623083
99,krishnarajpet,12.655,76.4883,293.06,92,99,2.01,IN,1698623083
100,petite-ile,-21.35,55.5667,294.92,83,100,4.12,RE,1698623083
101,port hedland,-20.3167,118.5667,300.18,100,99,2.06,AU,1698623083
102,sitka,57.0531,-135.33,281.09,71,75,2.57,US,1698622932
103,mawu,29.5923,107.3139,287.99,88,0,0.78,CN,1698623084
104,piedecuesta,6.9879,-73.0495,294.77,86,100,1.0,CO,1698623084
105,svatove,49.4103,38.1503,279.18,87,8,0.84,UA,1698623084
106,ryotsu-minato,38.0833,138.4333,288.98,71,67,2.39,JP,1698623084
107,college,64.8569,-147.8028,273.65,79,75,0.0,US,1698622891
108,braslaw,55.644,27.0455,277.82,99,100,3.97,BY,1698623085
109,flying fish cove,-10.4217,105.6791,298.97,88,100,3.6,CX,1698622953
110,puerto natales,-51.7236,-72.4875,274.6,86,57,1.68,CL,1698622887
111,keflavik,64.0049,-22.5624,277.39,70,0,2.06,IS,1698622933
112,ovalle,-30.5983,-71.2003,290.26,64,5,1.53,CL,1698623085
113,auki,-8.7676,160.7034,302.38,71,81,2.16,SB,1698622907
114,menongue,-14.6585,17.691,294.22,58,76,2.16,AO,1698623086
115,lae,-6.7221,146.9847,300.52,86,100,1.35,PG,1698623086
116,saipan,15.1355,145.701,303.54,79,20,4.63,MP,1698623086
117,basoko,1.2391,23.616,296.04,82,63,1.15,CD,1698623087
118,whitecourt,54.1502,-115.6855,276.73,44,100,2.57,CA,1698623087
119,madinat ash shamal,26.1293,51.2009,300.55,59,54,2.18,QA,1698623087
120,rodna,47.4167,24.8167,282.98,84,95,1.11,RO,1698623087
121,mount isa,-20.7333,139.5,306.02,43,84,4.12,AU,1698623088
122,petropavlovsk-kamchatsky,53.0452,158.6483,276.18,59,100,3.0,RU,1698623088
123,darwin,-12.4611,130.8418,304.2,71,86,2.52,AU,1698623088
124,nazira,26.9167,94.7333,292.34,96,45,1.19,IN,1698623088
125,maracacume,-2.0428,-45.9592,298.16,76,20,2.49,BR,1698623089
126,bumpe,7.8919,-11.9025,297.17,95,51,0.75,SL,1698623089
127,aral,40.5156,81.2636,285.42,31,55,1.52,CN,1698622835
128,laguna,38.421,-121.4238,297.31,19,0,2.06,US,1698622927
129,grand island,40.925,-98.342,275.12,62,100,8.75,US,1698622799
130,galesong,-5.3166,119.3661,301.16,64,80,2.67,ID,1698623089
131,muisne,0.6,-80.0333,298.17,87,100,3.23,EC,1698623090
132,east london,-33.0153,27.9116,287.33,67,97,5.3,ZA,1698622864
133,dwarka,22.2394,68.9678,300.66,56,67,3.69,IN,1698623090
134,yebaishou,41.3975,119.6408,283.05,35,30,2.83,CN,1698623090
135,miles city,46.4083,-105.8406,269.69,80,100,3.09,US,1698623090
136,arraial do cabo,-22.9661,-42.0278,297.01,89,98,8.29,BR,1698623091
137,i-n-salah,27.1935,2.4607,301.07,18,55,2.19,DZ,1698623091
138,hermanus,-34.4187,19.2345,286.42,64,0,10.33,ZA,1698623091
139,corner brook,48.9667,-57.9484,277.24,52,93,7.76,CA,1698623091
140,hithadhoo,-0.6,73.0833,300.29,80,83,7.35,MV,1698623092
141,priozersk,61.0393,30.1291,269.88,53,37,2.34,RU,1698623092
142,minab,27.1467,57.0801,299.61,64,41,1.15,IR,1698623092
143,afaahiti,-17.75,-149.2833,300.08,82,28,6.8,PF,1698623092
144,anadyr,64.75,177.4833,271.43,92,75,7.0,RU,1698623067
145,sinabang,2.4803,96.3801,298.83,84,95,1.35,ID,1698623093
146,dodola,6.9833,39.1833,284.58,95,85,1.58,ET,1698623093
147,kerikeri,-35.2268,173.9474,291.99,93,100,2.24,NZ,1698622853
148,guerrero negro,27.9769,-114.0611,297.45,47,0,6.34,MX,1698623093
149,cowra,-33.8333,148.6833,302.55,14,33,10.34,AU,1698623093
150,arkhangel'sk,64.5401,40.5433,268.78,81,57,2.07,RU,1698623094
151,igarka,67.4667,86.5833,256.03,97,40,0.88,RU,1698623094
152,gualaceo,-2.9,-78.7833,289.96,94,100,0.73,EC,1698623094
153,pangoa,-12.1167,-73.0,294.07,99,100,0.58,PE,1698623094
154,greymouth,-42.4667,171.2,289.3,44,88,3.31,NZ,1698623095
155,dayr mawas,27.6418,30.8466,296.77,58,18,3.52,EG,1698623095
156,bamusso,4.4591,8.9027,299.31,88,98,1.32,CM,1698623095
157,banda aceh,5.5577,95.3222,299.13,83,95,1.53,ID,1698623095
158,valparaiso,-33.0393,-71.6273,288.97,83,100,3.09,CL,1698622805
159,punta arenas,-53.15,-70.9167,280.21,53,20,9.77,CL,1698623096
160,along,28.1667,94.7667,288.36,81,22,0.73,IN,1698623096
161,port lincoln,-34.7333,135.8667,287.86,69,41,8.84,AU,1698622808
162,novodvinsk,64.4165,40.8122,268.59,81,51,1.82,RU,1698623096
163,surgana,20.5667,73.6167,293.09,47,51,3.25,IN,1698623097
164,churapcha,62.0025,132.4325,263.09,93,100,2.4,RU,1698623097
165,nurota,40.5614,65.6886,290.17,46,34,2.95,UZ,1698622906
166,fomboni,-12.28,43.7425,299.56,82,23,7.37,KM,1698622866
167,kalinagar,28.6167,80.1,290.92,66,0,0.68,IN,1698623097
